country,country_name,type,level,2016,2017,2018
EE,Estonia,Hydro,Level 1,35.0,26.0,18.2
EE,Estonia,Pumped hydro power,Level 2,0.0,0.0,0.0
EE,Estonia,Wind,Level 1,594.0,723.0,645.9
EE,Estonia,Solar,Level 1,0.0,0.0,0.0
EE,Estonia,Geothermal,Level 1,0.0,0.0,0.0
EE,Estonia,Other,Level 1,0.0,0.0,0.0
IE,Ireland,Conventional thermal,Level 1,22571.711,21745.666,19963.734
IE,Ireland,Nuclear,Level 1,0.0,0.0,0.0
IE,Ireland,Hydro,Level 1,962.861,885.765,921.979
IE,Ireland,Pumped hydro power,Level 2,288.676,201.184,234.93600000000004
IE,Ireland,Wind,Level 1,6148.508,7444.742,8349.172
IE,Ireland,Solar,Level 1,6.16,10.801,0.0
IE,Ireland,Geothermal,Level 1,0.0,0.0,0.0
IE,Ireland,Other,Level 1,0.0,0.0,0.0
EL,Greece,Conventional thermal,Level 1,35586.0,37021.751,34803.244
EL,Greece,Nuclear,Level 1,0.0,0.0,0.0
EL,Greece,Hydro,Level 1,5565.0,4039.0,5802.417
EL,Greece,Pumped hydro power,Level 2,22.0,77.259,636.1
EL,Greece,Wind,Level 1,5146.0,5536.987,6300.26
EL,Greece,Solar,Level 1,3930.0,3991.477,3792.038
EL,Greece,Geothermal,Level 1,0.0,0.0,0.0
EL,Greece,Other,Level 1,0.0,0.0,10.99
ES,Spain,Conventional thermal,Level 1,108210.0,126885.0,110084.238
ES,Spain,Nuclear,Level 1,56100.0,55540.0,53270.8
ES,Spain,Hydro,Level 1,39180.0,20708.0,36083.636
ES,Spain,Pumped hydro power,Level 2,3410.0,2249.0,2009.408
ES,Spain,Wind,Level 1,47712.0,47929.0,49495.207
ES,Spain,Solar,Level 1,13051.0,13778.0,12137.315
ES,Spain,Geothermal,Level 1,0.0,0.0,0.0
ES,Spain,Other,Level 1,91.0,78.0,0.0
FR,France,Conventional thermal,Level 1,60607.854,68922.949,53956.44
FR,France,Nuclear,Level 1,384008.125,379093.955,393153.254
FR,France,Hydro,Level 1,64879.956,54432.864,68706.552
FR,France,Pumped hydro power,Level 2,4786.979,5070.791,9082.043
FR,France,Wind,Level 1,21472.916,24710.749,26134.02
FR,France,Solar,Level 1,8657.27,9572.843,9651.478
FR,France,Geothermal,Level 1,87.93299999999999,119.937,84.084
FR,France,Other,Level 1,559.515,673.71,0.0
HR,Croatia,Conventional thermal,Level 1,4241.0,4808.0,4155.654
HR,Croatia,Nuclear,Level 1,0.0,0.0,0.0
HR,Croatia,Hydro,Level 1,6967.0,5437.8,7681.336999999999
HR,Croatia,Pumped hydro power,Level 2,205.0,200.3,583.988
HR,Croatia,Wind,Level 1,1010.0,1198.4,1350.356
HR,Croatia,Solar,Level 1,66.0,78.7,69.193
HR,Croatia,Geothermal,Level 1,0.0,0.0,0.0
HR,Croatia,Other,Level 1,0.0,0.0,0.0
IT,Italy,Conventional thermal,Level 1,190121.0,199722.444,185046.0
IT,Italy,Nuclear,Level 1,0.0,0.0,0.0
IT,Italy,Hydro,Level 1,43784.622,37556.721000000005,49275.0
IT,Italy,Pumped hydro power,Level 2,1825.204,1825.96,1632.0
IT,Italy,Wind,Level 1,17523.0,17565.332,17318.0
IT,Italy,Solar,Level 1,21757.0,24016.821,22887.0
IT,Italy,Geothermal,Level 1,5867.0,5821.46,5708.0
IT,Italy,Other,Level 1,650.0,582.871,0.0
CY,Cyprus,Conventional thermal,Level 1,4295.0,4394.819,4380.142999999999
CY,Cyprus,Nuclear,Level 1,0.0,0.0,0.0
CY,Cyprus,Hydro,Level 1,0.0,0.0,0.0
CY,Cyprus,Pumped hydro power,Level 2,0.0,0.0,0.0
CY,Cyprus,Wind,Level 1,226.701,211.448,220.613
CY,Cyprus,Solar,Level 1,145.937,172.013,190.329
CY,Cyprus,Geothermal,Level 1,0.0,0.0,0.0
CY,Cyprus,Other,Level 1,0.0,0.0,0.0
LV,Latvia,Conventional thermal,Level 1,3277.0,2520.3830000000003,3962.0
LV,Latvia,Nuclear,Level 1,0.0,0.0,0.0
LV,Latvia,Hydro,Level 1,2523.0,4355.513,2418.0
LV,Latvia,Pumped hydro power,Level 2,0.0,0.0,0.0
LV,Latvia,Wind,Level 1,127.0,148.523,120.0
LV,Latvia,Solar,Level 1,0.0,0.44,0.0
LV,Latvia,Geothermal,Level 1,0.0,0.0,0.0
LV,Latvia,Other,Level 1,0.0,0.0,0.0
LT,Lithuania,Conventional thermal,Level 1,1566.0,1165.3000000000002,802.8350000000002
LT,Lithuania,Nuclear,Level 1,0.0,0.0,0.0
LT,Lithuania,Hydro,Level 1,1027.0,1164.6,940.677
LT,Lithuania,Pumped hydro power,Level 2,577.0,567.5,513.6840000000001
LT,Lithuania,Wind,Level 1,1130.0,1356.2,1136.357
LT,Lithuania,Solar,Level 1,66.0,67.0,80.01400000000001
LT,Lithuania,Geothermal,Level 1,0.0,0.0,0.0
LT,Lithuania,Other,Level 1,262.0,243.0,223.212
LU,Luxembourg,Conventional thermal,Level 1,449.564,450.167,463.132
LU,Luxembourg,Nuclear,Level 1,0.0,0.0,0.0
LU,Luxembourg,Hydro,Level 1,1516.352,1411.286,1326.3289999999995
LU,Luxembourg,Pumped hydro power,Level 2,1404.667,1329.398,1237.554
LU,Luxembourg,Wind,Level 1,101.486,234.823,263.708
LU,Luxembourg,Solar,Level 1,100.288,108.462,111.693
LU,Luxembourg,Geothermal,Level 1,0.0,0.0,0.0
LU,Luxembourg,Other,Level 1,0.0,0.0,0.0
HU,Hungary,Conventional thermal,Level 1,13156.0,14096.0,13489.644
HU,Hungary,Nuclear,Level 1,15162.0,15206.0,14854.662
HU,Hungary,Hydro,Level 1,253.0,214.0,215.862
HU,Hungary,Pumped hydro power,Level 2,0.0,0.0,0.0
HU,Hungary,Wind,Level 1,665.0,737.0,589.406
HU,Hungary,Solar,Level 1,241.0,346.0,594.258
HU,Hungary,Geothermal,Level 1,0.0,1.0,6.047
HU,Hungary,Other,Level 1,71.0,76.0,0.0
MT,Malta,Conventional thermal,Level 1,680.0,1439.156,1716.4900000000002
MT,Malta,Nuclear,Level 1,0.0,0.0,0.0
MT,Malta,Hydro,Level 1,0.0,0.0,0.0
MT,Malta,Pumped hydro power,Level 2,0.0,0.0,0.0
MT,Malta,Wind,Level 1,0.0,0.058,0.0
MT,Malta,Solar,Level 1,127.16,155.245,0.0
MT,Malta,Geothermal,Level 1,0.0,0.0,0.0
MT,Malta,Other,Level 1,0.0,0.0,0.0
NL,Netherlands,Conventional thermal,Level 1,97271.8,97231.607,94450.0
NL,Netherlands,Nuclear,Level 1,3750.0,3277.664,3313.371
NL,Netherlands,Hydro,Level 1,100.079,60.757,86.0
NL,Netherlands,Pumped hydro power,Level 2,0.0,0.0,0.0
NL,Netherlands,Wind,Level 1,8170.462,10568.797,12279.0
NL,Netherlands,Solar,Level 1,1601.811,2204.344,2423.0
NL,Netherlands,Geothermal,Level 1,0.0,0.0,0.0
NL,Netherlands,Other,Level 1,138.101,121.865,0.0
AT,Austria,Conventional thermal,Level 1,18065.01,20135.846,16350.754
AT,Austria,Nuclear,Level 1,0.0,0.0,0.0
AT,Austria,Hydro,Level 1,40772.188,40098.554,37217.295000000006
AT,Austria,Pumped hydro power,Level 2,2883.861,3683.851,13397.582
AT,Austria,Wind,Level 1,4968.262,6239.497,5857.059
AT,Austria,Solar,Level 1,1040.698,1204.311,0.0
AT,Austria,Geothermal,Level 1,0.02,0.086,0.0
AT,Austria,Other,Level 1,14.692,11.868,6162.686
PL,Poland,Conventional thermal,Level 1,136945.0,137068.099,138957.387
PL,Poland,Nuclear,Level 1,0.0,0.0,0.0
PL,Poland,Hydro,Level 1,2591.0,2999.86,2353.336
PL,Poland,Pumped hydro power,Level 2,474.0,448.193,402.36
PL,Poland,Wind,Level 1,12279.0,14574.192,12487.345
PL,Poland,Solar,Level 1,124.0,165.463,298.432
PL,Poland,Geothermal,Level 1,0.0,0.0,0.0
PL,Poland,Other,Level 1,64.0,61.73,0.0
PT,Portugal,Conventional thermal,Level 1,28702.0,36882.017,30887.0
PT,Portugal,Nuclear,Level 1,0.0,0.0,0.0
PT,Portugal,Hydro,Level 1,16794.113,7489.938,13489.0
PT,Portugal,Pumped hydro power,Level 2,1186.0,1699.948,3120.0
PT,Portugal,Wind,Level 1,12343.336,12112.464,12530.0
